English,Japanese
Checking...,チェック中...
Checking cards...,カードをチェック中...
Checking collection...,コレクションをチェック中...
Checking history...,履歴をチェック中...
Checking notes...,ノートをチェック中...
Check Media,メディアをチェック
Check Media,メディアをチェック
Choose,選択
Choose Tags,タグを選択
Clear Unused,使用されていないタグを削除
Clear Unused Tags,使用されていないタグを削除
Clone: { $val },クローン: { $val }
Clone Preset,このプリセットを複製
Close,閉じる
Close and lose current input?,閉じて現在の入力を破棄しますか？
Cloze,穴埋め問題
Cloze { $val },穴埋め問題 { $val }
'cloze:' can only be used on cloze notetypes.,「cloze:」（穴埋め問題）は穴埋め問題のノートタイプでのみ使用できます。
Cloze deletion,穴埋め問題
Cloze deletion can only be used in fields which use the 'cloze:' filter. This is typically the first field.,穴埋め問題機能は「cloze:」（穴埋め問題）フィルターを使用しているフィールドでのみ使用できます。多くの場合、最初のフィールドがそれに該当します。
Cloze deletion can only be used on cloze notetypes.,穴埋め問題機能は穴埋め問題用のノートタイプでのみ使用できます。
Cloze deletion (Ctrl+Shift+C),穴埋め (Ctrl+Shift+C)
Cloze deletion (same card),穴埋め問題 (同じカード )
"Cloze notetypes cannot be merged with regular notetypes.
You may still import the file with '{ importing-merge-notetypes }' disabled.","穴埋め問題のノートタイプは他のノートタイプに統合できません。
'{ importing-merge-notetypes }'を無効にすることでファイルをインポートすることはできます。"
Collapse,折りたたむ
Collapse,折りたたむ
Collapse,折りたたむ
Collapse by default,デフォルトで折りたたむ
Collapse Children,サブアイテムを折りたたむ
Collapse field,フィールドを折りたたむ
collection,コレクション
collection,コレクション
Collection exported.,コレクションを書き出しました。
Collection file is corrupt. Please restore from an automatic backup.,コレクションが壊れています。マニュアルをご覧ください。
Collection sync complete.,コレクションの同期が完了しました。
Colon,コロン ( : )
Comma,"コンマ ( , )"
Comments,コメント
Compute,推定
Compute minimum recommended retention,有益な目標正答率の下限を推定
Congratulations! You have finished this deck for now.,おめでとうございます！ このデッキの現在の課題をすべて達成しました！
Connecting...,接続中...
Connection timed out. Please try again on a different network.,接続がタイムアウトしました。別のネットワークを使用して再度お試しください。
Connection timed out. Please try again on a different network.,接続がタイムアウトしました。別のネットワークを使用して再度お試しください。
Continue,続行
"Controls the position (due #) new cards are assigned when you add new cards.
Cards with a lower due number will be shown first when studying. Changing
this option will automatically update the existing position of new cards.",新規カードを追加したときにそのカードに割り当てる位置（新規カード番号）の決め方を選択できます。新規カード番号の数字が小さい順にカードは習得学習で表示されます。このオプションを変更すると、ただちに既存の新規カードの位置が更新されます。
Copy,コピー
Copy tags,タグをコピー
Correct answers on mature cards: { $correct }/{ $total } ({ $percent }%),習熟期の復習の正答率: { $correct }/{ $total } ({ $percent }%)
Couldn't record audio. Have you installed 'lame'?,音声を録音できませんでした。LAMEをインストールしていますか？
Couldn't save file: { $val },ファイル { $val } を保存できませんでした
"Counts differ from the deck list, because burying is enabled. Some cards have been excluded, and others may have taken their place.","デッキオプションにおいて「兄弟関係のカードの非表示」のためのオプションがオンになっており、
かつ、該当するカードがあるため、学習予定のカード枚数はデッキリストでの表示よりも少なくなります。
灰色の数字は、同オプションがオフの場合に今日の学習予定に含まれる兄弟関係のカードの枚数を表します。"
Create Copy,ノートを複製
Created,ノート作成日時
Create Deck,デッキを作成
Create scalable images with dvisvgm,dvisvgmで拡大可能な画像を作成
Create/update this deck even if empty,このデッキが空でも作成/更新
Creating Backup...,バックアップを作成中…
Ctrl,Ctrl キー
Ctrl+Shift+E,Ctrl+Shift+E
Current,現在
Current Card ({ $context }),現在のカード ({ $context })
Current Deck,現在のデッキ
Current note type:,現在のノートタイプ:
Custom Data,カスタムデータ
Customize Card Templates,カードテンプレートをカスタマイズ
Customize Card Templates (Ctrl+L),カードテンプレートをカストマイズする（Ctrl+L）
Customize Fields,フィールドをカスタマイズ
Custom scheduling,カスタムスケジューリング
